pmid	author	order
27993779	Irina_Balaur	1
27993779	Alexander_Mazein	2
27993779	Mansoor_Saqi	3
27993779	Artem_Lysenko	4
27993779	Christopher_J_Rawlings	5
27993779	Charles_Auffray	6
27919219	Vasundra_Touré	1
27919219	Alexander_Mazein	2
27919219	Dagmar_Waltemath	3
27919219	Irina_Balaur	4
27919219	Mansoor_Saqi	5
27919219	Ron_Henkel	6
27919219	Johann_Pellet	7
27919219	Charles_Auffray	8
27587666	Siavash_Sheikhizadeh	1
27587666	M_Eric_Schranz	2
27587666	Mehmet_Akdel	3
27587666	Dick_de_Ridder	4
27587666	Sandra_Smit	5
27462371	Artem_Lysenko	1
27462371	Irina_A_Roznovăţ	2
27462371	Mansoor_Saqi	3
27462371	Alexander_Mazein	4
27462371	Christopher_J_Rawlings	5
27462371	Charles_Auffray	6
27196054	Joseph_Mullen	1
27196054	Simon_J_Cockell	2
27196054	Peter_Woollard	3
27196054	Anil_Wipat	4
26998997	Martin_Preusse	1
26998997	Fabian_J_Theis	2
26998997	Nikola_S_Mueller	3
26708334	Daniel_Bottomly	1
26708334	Shannon_K_McWeeney	2
26708334	Beth_Wilmot	3
26657893	Xinbin_Dai	1
26657893	Jun_Li	2
26657893	Tingsong_Liu	3
26657893	Patrick_Xuechun_Zhao	4
26272981	Georg_Summer	1
26272981	Thomas_Kelder	2
26272981	Keiichiro_Ono	3
26272981	Marijana_Radonjic	4
26272981	Stephane_Heymans	5
26272981	Barry_Demchak	6
26262393	Dimitar_Hristovski	1
26262393	Andrej_Kastrin	2
26262393	Dejan_Dinevski	3
26262393	Thomas_C_Rindflesch	4
25520553	David_Johnson	1
25520553	Anthony_J_Connor	2
25520553	Steve_McKeever	3
25520553	Zhihui_Wang	4
25520553	Thomas_S_Deisboeck	5
25520553	Tom_Quaiser	6
25520553	Eliezer_Shochat	7
